zone,state,city,name,type,establishment_year,time_needed_to_visit_in_hrs,google_review_rating,entrance_fee_in_inr,airport_with_50km_radius,weekly_off,significance,dslr_allowed,number_of_google_review_in_lakhs,best_time_to_visit,score,features,uniq_id
Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4.0,4.4,60,No,Monday,Wildlife,Yes,0.065,All,8.8975,National Park Wildlife All,218
Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,4.5,0,No,Monday,Recreational,Yes,0.09,Morning,9.135,Beach Recreational Morning,219
Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning,9.27,Palace Historical Morning,220
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,Monday,Religious,No,0.045,All,9.467500000000001,Temple Religious All,221
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,Monday,Architectural,No,0.07,All,9.305,Temple Architectural All,222
Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3.0,4.4,100,Yes,Monday,Wildlife,Yes,0.07,All,8.905000000000001,National Park Wildlife All,223
Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1.0,4.5,20,Yes,Friday,Historical,Yes,0.09,All,9.135,Palace Historical All,224
Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,Monday,Nature,Yes,0.15,All,9.225,Hill Nature All,225
Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2.0,4.7,0,Yes,Monday,Religious,No,1.0,All,10.9,Temple Religious All,226
Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,Monday,Historical,Yes,0.83,All,10.645,Temple Historical All,227
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1.0,4.6,0,Yes,Monday,Religious,No,0.35,All,9.725,Temple Religious All,228
Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,4.5,0,No,Monday,Nature,Yes,1.2,All,10.8,Waterfall Nature All,229
Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1.0,4.5,0,Yes,Monday,Historical,Yes,0.13,All,9.195,Fort Historical All,230
Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1.0,4.5,0,No,Monday,Engineering Marvel,Yes,0.01,All,9.015,Dam Engineering Marvel All,231
Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2.0,3.9,0,Yes,Monday,Nature,Yes,0.1,Morning,7.95,Lake Nature Morning,232
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1.0,4.6,0,Yes,Monday,Religious,No,0.01,All,9.215,Temple Religious All,233
Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1.0,4.3,0,No,Monday,Nature,Yes,0.018,Morning,8.626999999999999,Waterfall Nature Morning,234
Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,Monday,Recreational,Yes,0.014,Morning,8.421000000000001,Beach Recreational Morning,235
Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1.0,4.4,0,No,Monday,Nature,Yes,0.055,All,8.8825,Waterfall Nature All,236
Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,Monday,Recreational,Yes,0.1,Morning,7.95,Beach Recreational Morning,237
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2.0,4.7,0,Yes,Monday,Religious,No,0.65,All,10.375,Temple Religious All,238
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,Monday,Religious,No,0.01,All,9.215,Temple Religious All,239
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1.0,4.6,20,Yes,Monday,Historical,No,0.47,Morning,9.905,Memorial Historical Morning,240
Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1.0,4.1,10,Yes,Monday,Recreational,Yes,0.61,Morning,9.114999999999998,Lake Recreational Morning,241
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1.0,4.7,0,Yes,Monday,Religious,No,0.3,All,9.85,Temple Religious All,242
Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2.0,3.9,0,No,Monday,Recreational,Yes,0.1,Morning,7.95,Lake Recreational Morning,243
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,Monday,Religious,No,0.35,All,10.125,Temple Religious All,244
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1.0,4.6,40,Yes,Monday,Historical,No,0.09,All,9.334999999999999,Temple Historical All,245
Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1.0,4.2,0,No,Monday,Recreational,Yes,0.019,Morning,8.4285,Lake Recreational Morning,246
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1.0,4.6,0,Yes,Monday,Religious,No,0.16,All,9.44,Temple Religious All,247
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1.0,4.7,0,Yes,Monday,Religious,No,0.28,All,9.82,Temple Religious All,248
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1.0,4.7,0,Yes,Monday,Religious,No,0.44,All,10.06,Temple Religious All,249
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,Monday,Recreational,Yes,0.39,Morning,9.585,Beach Recreational Morning,250
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1.0,4.7,0,No,Monday,Religious,No,0.49,All,10.135,Temple Religious All,251
Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2.0,4.3,0,Yes,Monday,Nature,Yes,0.032,All,8.648,Hill Nature All,252
Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,Monday,Historical,Yes,0.075,All,9.3125,Site Historical All,253
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,Monday,Natural Wonder,Yes,0.11,Afternoon,8.965,Cave Natural Wonder Afternoon,254
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1.0,4.7,0,Yes,Monday,Religious,No,0.041,All,9.461500000000001,Temple Religious All,255
Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1.0,4.4,10,Yes,Monday,Wildlife,Yes,0.7,All,9.850000000000001,Bird Sanctuary Wildlife All,256
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,Monday,Historical,Yes,0.015,Morning,9.0225,Fort Historical Morning,257
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1.0,4.7,0,Yes,Monday,Religious,Yes,0.12,All,9.58,Spiritual Center Religious All,258
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1.0,4.7,0,Yes,Monday,Religious,No,0.59,All,10.285,Temple Religious All,259
Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2.0,4.5,0,Yes,Monday,Recreational,Yes,0.019,All,9.0285,Hill Recreational All,260
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1.0,4.6,40,Yes,Monday,Historical,Yes,0.49,All,9.934999999999999,Museum Historical All,261
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2.0,4.5,60,No,Monday,Natural Wonder,Yes,0.31,Afternoon,9.465,Cave Natural Wonder Afternoon,262
Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1.0,4.6,0,Yes,Monday,Historical,Yes,0.059,All,9.288499999999999,War Memorial Historical All,263
Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,8.575,Zoo Wildlife Afternoon,264
Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1.0,3.8,20,Yes,Monday,Recreational,Yes,0.03,All,7.645,Aquarium Recreational All,265
Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10,Yes,Monday,Cultural,Yes,0.065,All,8.6975,Museum Cultural All,266
Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2.0,4.3,20,Yes,Monday,Historical,Yes,0.15,Afternoon,8.825,Hill Historical Afternoon,267
Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1.0,4.6,20,No,Monday,Religious,No,0.015,Morning,9.2225,Monastery Religious Morning,268
Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2.0,4.7,50,Yes,Monday,Religious,No,0.12,All,9.58,Religious Complex Religious All,269
Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1.0,4.6,10,Yes,Monday,Religious,No,0.035,Morning,9.2525,Monastery Religious Morning,270
Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1.0,4.8,50,Yes,Monday,Cultural,Yes,0.1,All,9.75,Park Cultural All,271
Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1.0,4.7,0,Yes,Monday,Religious,No,0.075,All,9.512500000000001,Temple Religious All,272
Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2.0,4.5,0,Yes,Monday,Nature,Yes,0.15,Morning,9.225,Lake Nature Morning,273
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2.0,4.6,0,Yes,Monday,Religious,No,0.21,All,9.514999999999999,Temple Religious All,274
North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,Monday,Wildlife,No,0.068,Morning,9.102,National Park Wildlife Morning,275
North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1.0,4.1,0,Yes,Monday,Nature,Yes,0.01,Morning,8.215,Island Nature Morning,276
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0,No,Monday,Historical,Yes,0.065,All,9.4975,Temple Historical All,277
North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2.0,4.7,0,No,Monday,Cultural,Yes,0.01,Morning,9.415000000000001,River Island Cultural Morning,278
North Eastern,Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,No,Monday,Wildlife,Yes,0.19,Morning,9.485,National Park Wildlife Morning,279
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1.0,4.5,0,No,Monday,Religious,Yes,0.9,All,10.35,Temple Religious All,280
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,Yes,Monday,Wildlife,Yes,0.037,All,8.855500000000001,Wildlife Sanctuary Wildlife All,281
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0,No,Monday,Religious,No,0.032,Morning,9.448,Monastery Religious Morning,282
North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All,9.0525,Palace Historical All,283
North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1.0,4.5,0,No,Monday,Nature,Yes,0.01,Morning,9.015,Lake Nature Morning,284
North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,Monday,Historical,Yes,0.025,Morning,9.0375,Rock Carvings Historical Morning,285
Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,Monday,Nature,Yes,0.19,Morning,9.485,Waterfall Nature Morning,286
North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3.0,4.7,0,No,Monday,Trekking,Yes,0.01,Afternoon,9.415000000000001,Valley Trekking Afternoon,287
Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1.0,4.5,0,Yes,Monday,Recreational,Yes,0.09,Morning,9.135,Beach Recreational Morning,288
Southern,Puducherry,Auroville,Auroville,Township,1968,2.0,4.1,0,Yes,Monday,Cultural,Yes,0.035,All,8.2525,Township Cultural All,289
Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1.0,4.5,200,Yes,Monday,Recreational,Yes,0.015,Morning,9.0225,Beach Recreational Morning,290
Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon,9.58,Landmark Historical Afternoon,291
Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1.0,4.8,0,No,Monday,Nature,Yes,0.09,Morning,9.735,Beach Nature Morning,292
Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1.0,4.5,0,No,Monday,Nature,Yes,0.04,Morning,9.06,Beach Nature Morning,293
Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,Monday,Nature,Yes,0.015,Morning,8.822500000000002,Natural Feature Nature Morning,294
Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1.0,4.5,0,No,Monday,Nature,Yes,0.6,Afternoon,9.9,Cave Nature Afternoon,295
Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,Monday,Historical,Yes,1.2,Afternoon,11.0,Fort Historical Afternoon,296
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1.0,4.7,0,Yes,Monday,Religious,Yes,1.8,All,12.100000000000001,Temple Religious All,297
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1.0,4.6,0,Yes,Monday,Religious,Yes,0.13,All,9.395,Temple Religious All,298
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,Monday,Religious,Yes,0.2,All,9.700000000000001,Temple Religious All,299
Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,Monday,Wildlife,Yes,0.5,All,9.35,Zoo Wildlife All,300
Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1.0,4.7,0,Yes,Monday,Religious,Yes,0.25,All,9.775,Gurudwara Religious All,301
Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1.0,4.4,10,Yes,Monday,Cultural,Yes,0.31,All,9.265,Park Cultural All,302
Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3.0,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon,9.25,Entertainment Entertainment Afternoon,303
Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2.0,4.6,0,Yes,Monday,Shopping,Yes,1.2,Afternoon,11.0,Mall Shopping Afternoon,304
Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2.0,4.7,0,Yes,Monday,Entertainment,Yes,0.71,Afternoon,10.465,Commercial Complex Entertainment Afternoon,305
Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1.0,4.8,0,Yes,Monday,Religious,Yes,1.05,All,11.175,Gurudwara Religious All,306
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,Monday,Religious,No,2.0,All,12.6,Temple Religious All,307
Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2.0,4.6,0,Yes,Monday,Shopping,Yes,1.5,All,11.45,Mall Shopping All,308
Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2.0,4.2,0,Yes,Monday,Shopping,Yes,0.45,All,9.075000000000001,Mall Shopping All,309
Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4.0,4.5,890,Yes,Monday,Entertainment,Yes,0.95,All,10.425,Amusement Park Entertainment All,310
Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3.0,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon,10.015,Zoo Wildlife Afternoon,311
Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2.0,4.5,0,Yes,Monday,Shopping,Yes,1.8,All,11.7,Mall Shopping All,312
Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2.0,4.5,0,Yes,Monday,Shopping,Yes,1.2,All,10.8,Mall Shopping All,313
Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1.0,4.5,0,Yes,Monday,Historical,Yes,0.49,All,9.735,Mosque Historical All,314
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,Monday,Religious,No,0.1,All,9.55,Temple Religious All,315
Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2.0,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All,20.3,Race Track Sports All,316
Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2.0,4.6,0,Yes,Monday,Shopping,Yes,0.35,All,9.725,Mall Shopping All,317
Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3.0,4.6,0,Yes,Monday,Shopping,Yes,1.9,All,12.049999999999999,Mall Shopping All,318
Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2.0,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning,9.16,Museum Cultural Morning,319
North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2.0,4.6,0,No,Monday,Nature,Yes,0.06,Morning,9.29,Natural Feature Nature Morning,320
Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3.0,4.6,0,Yes,Monday,Religious,No,0.18,All,9.469999999999999,Temple Religious All,321
Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2.0,4.5,40,Yes,Monday,Historical,Yes,1.3,Afternoon,10.95,Fort Historical Afternoon,322
Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2.0,4.7,10,Yes,Monday,Cultural,Yes,0.15,All,9.625,Museum Cultural All,323
Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2.0,4.4,200,Yes,Monday,Historical,Yes,0.51,Morning,9.565000000000001,Palace Historical Morning,324
Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2.0,4.5,200,Yes,Monday,Historical,Yes,0.63,All,9.945,Museum Historical All,325
